Category,Subcategory,Local_Filename,Cloudinary_URL,Public_ID
MEN,Clothing/Shorts,Quần đùi short gió nam thể thao Họa Tiết Rằn Ri trẻ tru.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004533/FASHION_DATA/MEN/Clothing/Shorts/Qu%C3%A2%CC%80n_%C4%91u%CC%80i_short_gio%CC%81_nam_th%C3%AA%CC%89_thao_H%E1%BB%8Da_Ti%E1%BA%BFt_R%E1%BA%B1n_Ri_tre%CC%89_tru.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_đùi_short_gió_nam_thể_thao_Họa_Tiết_Rằn_Ri_trẻ_tru
MEN,Clothing/Shorts,QUẦN SHORT NAM ALIGRO MÃ ALGQS1078.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004536/FASHION_DATA/MEN/Clothing/Shorts/QU%E1%BA%A6N_SHORT_NAM_ALIGRO_M%C3%83_ALGQS1078.png,FASHION_DATA/MEN/Clothing/Shorts/QUẦN_SHORT_NAM_ALIGRO_MÃ_ALGQS1078
MEN,Clothing/Shorts,Quần short nam big size quần sọt nam thể thao chống nóng quầ.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004538/FASHION_DATA/MEN/Clothing/Shorts/Qu%E1%BA%A7n_short_nam_big_size_qu%E1%BA%A7n_s%E1%BB%8Dt_nam_th%E1%BB%83_thao_ch%E1%BB%91ng_n%C3%B3ng_qu%E1%BA%A7.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_short_nam_big_size_quần_sọt_nam_thể_thao_chống_nóng_quầ
MEN,Clothing/Shorts,Quần Short Nam Big Size Quần Sọt Nam Thể Thao Cotton 4 Chiều.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004539/FASHION_DATA/MEN/Clothing/Shorts/Qu%E1%BA%A7n_Short_Nam_Big_Size_Qu%E1%BA%A7n_S%E1%BB%8Dt_Nam_Th%E1%BB%83_Thao_Cotton_4_Chi%E1%BB%81u.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_Short_Nam_Big_Size_Quần_Sọt_Nam_Thể_Thao_Cotton_4_Chiều
MEN,Clothing/Shorts,Quần short nam big size quần sọt nam thể thao quần đùi nam m.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004541/FASHION_DATA/MEN/Clothing/Shorts/Qu%E1%BA%A7n_short_nam_big_size_qu%E1%BA%A7n_s%E1%BB%8Dt_nam_th%E1%BB%83_thao_qu%E1%BA%A7n_%C4%91%C3%B9i_nam_m.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_short_nam_big_size_quần_sọt_nam_thể_thao_quần_đùi_nam_m
MEN,Clothing/Shorts,Quần short nỷ nam Novelty 200043Q.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004543/FASHION_DATA/MEN/Clothing/Shorts/Qu%E1%BA%A7n_short_n%E1%BB%B7_nam_Novelty_200043Q.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_short_nỷ_nam_Novelty_200043Q
MEN,Clothing/Shorts,"Quần short thun nam cao cấp, quần short nam vải cotton LN058.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004546/FASHION_DATA/MEN/Clothing/Shorts/Qu%E1%BA%A7n_short_thun_nam_cao_c%E1%BA%A5p_qu%E1%BA%A7n_short_nam_v%E1%BA%A3i_cotton_LN058.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_short_thun_nam_cao_cấp_quần_short_nam_vải_cotton_LN058
MEN,Clothing/Shorts,Quần Short Thể Thao Nam Phúc An 1001 - Xám.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004547/FASHION_DATA/MEN/Clothing/Shorts/Qu%E1%BA%A7n_Short_Th%E1%BB%83_Thao_Nam_Ph%C3%BAc_An_1001_-_X%C3%A1m.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_Short_Thể_Thao_Nam_Phúc_An_1001_-_Xám
MEN,Clothing/Shorts,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic t.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004549/FASHION_DATA/MEN/Clothing/Shorts/Set_2_qu%C3%A2%CC%80n_%C4%91u%CC%80i_nam_qu%C3%A2%CC%80n_Short_Gio%CC%81_nam_th%C3%AA%CC%89_thao_Basic_t.jpg,FASHION_DATA/MEN/Clothing/Shorts/Set_2_quần_đùi_nam_quần_Short_Gió_nam_thể_thao_Basic_t
MEN,Clothing/T-Shirts,"TOKYO JAPAN, mã G34. Áo thun nam nữ siêu đẹp. Áo phông thoát.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004550/FASHION_DATA/MEN/Clothing/T-Shirts/TOKYO_JAPAN_m%C3%A3_G34._%C3%81o_thun_nam_n%E1%BB%AF_si%C3%AAu_%C4%91%E1%BA%B9p._%C3%81o_ph%C3%B4ng_tho%C3%A1t.jpg,FASHION_DATA/MEN/Clothing/T-Shirts/TOKYO_JAPAN_mã_G34._Áo_thun_nam_nữ_siêu_đẹp._Áo_phông_thoát
MEN,Clothing/T-Shirts,Áo thun Nam body thời trang - AT019.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004552/FASHION_DATA/MEN/Clothing/T-Shirts/%C3%81o_thun_Nam_body_th%E1%BB%9Di_trang_-_AT019.jpg,FASHION_DATA/MEN/Clothing/T-Shirts/Áo_thun_Nam_body_thời_trang_-_AT019
MEN,Clothing/T-Shirts,Áo Thun Nam Có Cổ Màu Tròn Phom Body Áo Thun Cá Sấu Cotton 4.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004553/FASHION_DATA/MEN/Clothing/T-Shirts/%C3%81o_Thun_Nam_C%C3%B3_C%E1%BB%95_M%C3%A0u_Tr%C3%B2n_Phom_Body_%C3%81o_Thun_C%C3%A1_S%E1%BA%A5u_Cotton_4.jpg,FASHION_DATA/MEN/Clothing/T-Shirts/Áo_Thun_Nam_Có_Cổ_Màu_Tròn_Phom_Body_Áo_Thun_Cá_Sấu_Cotton_4
MEN,Clothing/T-Shirts,Áo Thun Nam Cổ Bẻ Thời Trang Cao Cấp ShopN6 - AT1.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004554/FASHION_DATA/MEN/Clothing/T-Shirts/%C3%81o_Thun_Nam_C%E1%BB%95_B%E1%BA%BB_Th%E1%BB%9Di_Trang_Cao_C%E1%BA%A5p_ShopN6_-_AT1.jpg,FASHION_DATA/MEN/Clothing/T-Shirts/Áo_Thun_Nam_Cổ_Bẻ_Thời_Trang_Cao_Cấp_ShopN6_-_AT1
MEN,Clothing/T-Shirts,Áo thun nam Áo phông nam cổ tròn - không cổ Out of control t.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004556/FASHION_DATA/MEN/Clothing/T-Shirts/%C3%81o_thun_nam_%C3%81o_ph%C3%B4ng_nam_c%E1%BB%95_tr%C3%B2n_-_kh%C3%B4ng_c%E1%BB%95_Out_of_control_t.jpg,FASHION_DATA/MEN/Clothing/T-Shirts/Áo_thun_nam_Áo_phông_nam_cổ_tròn_-_không_cổ_Out_of_control_t
MEN,Clothing/T-Shirts,ÁO THUN NAM.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004558/FASHION_DATA/MEN/Clothing/T-Shirts/%C3%81O_THUN_NAM.jpg,FASHION_DATA/MEN/Clothing/T-Shirts/ÁO_THUN_NAM
MEN,Clothing/T-Shirts,"Áo thun ngắn tay cao cấp, áo thun nam cổ tròn chất vải dày d.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004559/FASHION_DATA/MEN/Clothing/T-Shirts/%C3%81o_thun_ng%E1%BA%AFn_tay_cao_c%E1%BA%A5p_%C3%A1o_thun_nam_c%E1%BB%95_tr%C3%B2n_ch%E1%BA%A5t_v%E1%BA%A3i_d%C3%A0y_d.jpg,FASHION_DATA/MEN/Clothing/T-Shirts/Áo_thun_ngắn_tay_cao_cấp_áo_thun_nam_cổ_tròn_chất_vải_dày_d
